customer_id,first_name,last_name,email,phone,age,total_purchases,total_spent,join_date,city,state,average_order_value,tenure_days,Customer_tier
96.0,David,Garcia,david@email.com,,46.0,25,1160,2024-01-01,Philadelphia,PA,46.4,795,Regular
98.0,Frank,Davis,frank@email.com,(555) 789-0123,43.0,36,242,2025-06-30,San Diego,CA,6.72,249,Occasional
99.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,61.0,21,2590,2023-11-09,Dallas,TX,123.33,848,VIP
100.0,Henry,Martinez,henry@email.com,(555) 901-2345,51.0,28,1063,2025-07-08,San Jose,CA,37.96,241,Regular
101.0,John,Smith,john@email.com,(555) 123-4567,27.0,13,4324,2023-07-20,New York,NY,332.62,960,VIP
102.0,Mary,Johnson,mary@email.com,(555) 234-5678,79.0,27,2595,2024-01-20,Los Angeles,CA,96.11,776,VIP
103.0,Bob,Williams,bob@gmail.com,(555) 345-6789,53.0,4,919,2024-09-23,Chicago,IL,229.75,529,Regular
106.0,David,Garcia,david@email.com,,65.0,29,4170,2023-03-08,Philadelphia,PA,143.79,1094,VIP
108.0,Frank,Davis,frank@email.com,(555) 789-0123,25.0,4,645,2024-03-24,San Diego,CA,161.25,712,Regular
109.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,31.0,11,117,2023-04-04,Dallas,TX,10.64,1067,Occasional
110.0,Henry,Martinez,henry@email.com,(555) 901-2345,40.0,15,2928,2024-12-19,San Jose,CA,195.2,442,VIP
111.0,John,Smith,john@email.com,(555) 123-4567,77.0,25,2551,2024-03-23,New York,NY,102.04,713,VIP
112.0,Mary,Johnson,mary@email.com,(555) 234-5678,74.0,25,4289,2023-10-15,Los Angeles,CA,171.56,873,VIP
113.0,Bob,Williams,bob@gmail.com,(555) 345-6789,79.0,47,846,2025-12-11,Chicago,IL,18.0,85,Regular
116.0,David,Garcia,david@email.com,,33.0,35,1810,2025-09-04,Philadelphia,PA,51.71,183,Regular
118.0,Frank,Davis,frank@email.com,(555) 789-0123,35.0,29,224,2023-09-02,San Diego,CA,7.72,916,Occasional
119.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,64.0,36,4627,2025-03-19,Dallas,TX,128.53,352,VIP
120.0,Henry,Martinez,henry@email.com,(555) 901-2345,70.0,22,4208,2024-07-11,San Jose,CA,191.27,603,VIP
121.0,John,Smith,john@email.com,(555) 123-4567,41.0,9,4654,2023-07-05,New York,NY,517.11,975,VIP
122.0,Mary,Johnson,mary@email.com,(555) 234-5678,43.0,4,2048,2024-05-17,Los Angeles,CA,512.0,658,VIP
123.0,Bob,Williams,bob@gmail.com,(555) 345-6789,42.0,35,4749,2023-05-30,Chicago,IL,135.69,1011,VIP
126.0,David,Garcia,david@email.com,,77.0,9,1828,2025-08-25,Philadelphia,PA,203.11,193,Regular
128.0,Frank,Davis,frank@email.com,(555) 789-0123,58.0,31,4234,2026-01-02,San Diego,CA,136.58,63,VIP
129.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,46.0,0,2026,2023-07-02,Dallas,TX,0.0,978,VIP
130.0,Henry,Martinez,henry@email.com,(555) 901-2345,32.0,4,3744,2023-06-03,San Jose,CA,936.0,1007,VIP
131.0,John,Smith,john@email.com,(555) 123-4567,62.0,44,901,2023-06-12,New York,NY,20.48,998,Regular
132.0,Mary,Johnson,mary@email.com,(555) 234-5678,18.0,3,4785,2026-01-04,Los Angeles,CA,1595.0,61,VIP
133.0,Bob,Williams,bob@gmail.com,(555) 345-6789,42.0,15,2039,2025-03-20,Chicago,IL,135.93,351,VIP
136.0,David,Garcia,david@email.com,,41.0,1,1673,2026-01-05,Philadelphia,PA,1673.0,60,Regular
138.0,Frank,Davis,frank@email.com,(555) 789-0123,61.0,27,2060,2023-12-08,San Diego,CA,76.3,819,VIP
139.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,25.0,31,3713,2023-06-14,Dallas,TX,119.77,996,VIP
140.0,Henry,Martinez,henry@email.com,(555) 901-2345,41.0,26,1619,2024-06-28,San Jose,CA,62.27,616,Regular
141.0,John,Smith,john@email.com,(555) 123-4567,28.0,19,320,2023-03-15,New York,NY,16.84,1087,Occasional
142.0,Mary,Johnson,mary@email.com,(555) 234-5678,68.0,23,1342,2025-07-02,Los Angeles,CA,58.35,247,Regular
143.0,Bob,Williams,bob@gmail.com,(555) 345-6789,34.0,11,2376,2025-03-30,Chicago,IL,216.0,341,VIP
146.0,David,Garcia,david@email.com,,52.0,32,1994,2024-03-15,Philadelphia,PA,62.31,721,Regular
149.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,22.0,36,3490,2025-07-10,Dallas,TX,96.94,239,VIP
150.0,Henry,Martinez,henry@email.com,(555) 901-2345,59.0,11,3677,2025-03-12,San Jose,CA,334.27,359,VIP
151.0,John,Smith,john@email.com,(555) 123-4567,56.0,2,1118,2025-11-11,New York,NY,559.0,115,Regular
152.0,Mary,Johnson,mary@email.com,(555) 234-5678,75.0,0,1604,2025-02-23,Los Angeles,CA,0.0,376,Regular
153.0,Bob,Williams,bob@gmail.com,(555) 345-6789,58.0,32,4027,2024-07-20,Chicago,IL,125.84,594,VIP
156.0,David,Garcia,david@email.com,,26.0,42,4429,2025-02-13,Philadelphia,PA,105.45,386,VIP
158.0,Frank,Davis,frank@email.com,(555) 789-0123,29.0,28,375,2025-02-20,San Diego,CA,13.39,379,Occasional
159.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,51.0,12,3530,2025-08-04,Dallas,TX,294.17,214,VIP
160.0,Henry,Martinez,henry@email.com,(555) 901-2345,50.0,11,2635,2024-12-16,San Jose,CA,239.55,445,VIP
161.0,John,Smith,john@email.com,(555) 123-4567,65.0,30,1570,2024-03-13,New York,NY,52.33,723,Regular
162.0,Mary,Johnson,mary@email.com,(555) 234-5678,72.0,45,2560,2026-02-04,Los Angeles,CA,56.89,30,VIP
163.0,Bob,Williams,bob@gmail.com,(555) 345-6789,40.0,1,3391,2025-10-01,Chicago,IL,3391.0,156,VIP
166.0,David,Garcia,david@email.com,,54.0,22,3850,2024-01-12,Philadelphia,PA,175.0,784,VIP
168.0,Frank,Davis,frank@email.com,(555) 789-0123,61.0,25,1252,2024-08-25,San Diego,CA,50.08,558,Regular
169.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,57.0,7,1314,2024-12-12,Dallas,TX,187.71,449,Regular
170.0,Henry,Martinez,henry@email.com,(555) 901-2345,39.0,28,4820,2024-04-10,San Jose,CA,172.14,695,VIP
171.0,John,Smith,john@email.com,(555) 123-4567,44.0,25,2898,2025-02-13,New York,NY,115.92,386,VIP
172.0,Mary,Johnson,mary@email.com,(555) 234-5678,52.0,9,77,2025-11-21,Los Angeles,CA,8.56,105,Occasional
173.0,Bob,Williams,bob@gmail.com,(555) 345-6789,18.0,25,2621,2025-02-20,Chicago,IL,104.84,379,VIP
176.0,David,Garcia,david@email.com,,64.0,6,1065,2023-03-09,Philadelphia,PA,177.5,1093,Regular
178.0,Frank,Davis,frank@email.com,(555) 789-0123,20.0,49,2449,2025-02-16,San Diego,CA,49.98,383,VIP
179.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,18.0,44,2343,2023-09-29,Dallas,TX,53.25,889,VIP
180.0,Henry,Martinez,henry@email.com,(555) 901-2345,22.0,10,1863,2024-03-13,San Jose,CA,186.3,723,Regular
181.0,John,Smith,john@email.com,(555) 123-4567,43.0,28,1318,2024-11-20,New York,NY,47.07,471,Regular
182.0,Mary,Johnson,mary@email.com,(555) 234-5678,72.0,35,4711,2023-10-09,Los Angeles,CA,134.6,879,VIP
183.0,Bob,Williams,bob@gmail.com,(555) 345-6789,31.0,24,3597,2025-02-11,Chicago,IL,149.88,388,VIP
186.0,David,Garcia,david@email.com,,26.0,9,2190,2024-11-01,Philadelphia,PA,243.33,490,VIP
188.0,Frank,Davis,frank@email.com,(555) 789-0123,32.0,8,2712,2024-07-05,San Diego,CA,339.0,609,VIP
190.0,Henry,Martinez,henry@email.com,(555) 901-2345,59.0,34,1248,2024-07-19,San Jose,CA,36.71,595,Regular
191.0,John,Smith,john@email.com,(555) 123-4567,77.0,48,3054,2025-03-13,New York,NY,63.62,358,VIP
192.0,Mary,Johnson,mary@email.com,(555) 234-5678,30.0,34,4598,2026-01-05,Los Angeles,CA,135.24,60,VIP
196.0,David,Garcia,david@email.com,,66.0,48,3687,2024-10-15,Philadelphia,PA,76.81,507,VIP
198.0,Frank,Davis,frank@email.com,(555) 789-0123,78.0,31,4018,2025-08-03,San Diego,CA,129.61,215,VIP
199.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,49.0,23,3110,2023-04-07,Dallas,TX,135.22,1064,VIP
200.0,Henry,Martinez,henry@email.com,(555) 901-2345,21.0,22,1970,2024-09-05,San Jose,CA,89.55,547,Regular
201.0,John,Smith,john@email.com,(555) 123-4567,47.0,31,197,2023-08-08,New York,NY,6.35,941,Occasional
202.0,Mary,Johnson,mary@email.com,(555) 234-5678,54.0,36,2626,2025-01-06,Los Angeles,CA,72.94,424,VIP
203.0,Bob,Williams,bob@gmail.com,(555) 345-6789,40.0,11,1202,2023-09-09,Chicago,IL,109.27,909,Regular
206.0,David,Garcia,david@email.com,,32.0,22,1254,2024-10-25,Philadelphia,PA,57.0,497,Regular
208.0,Frank,Davis,frank@email.com,(555) 789-0123,46.0,34,419,2025-04-11,San Diego,CA,12.32,329,Occasional
209.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,53.0,40,2204,2024-03-09,Dallas,TX,55.1,727,VIP
210.0,Henry,Martinez,henry@email.com,(555) 901-2345,30.0,29,2597,2024-03-26,San Jose,CA,89.55,710,VIP
211.0,John,Smith,john@email.com,(555) 123-4567,49.0,16,1120,2025-05-02,New York,NY,70.0,308,Regular
212.0,Mary,Johnson,mary@email.com,(555) 234-5678,24.0,48,3068,2024-02-26,Los Angeles,CA,63.92,739,VIP
216.0,David,Garcia,david@email.com,,45.0,21,2645,2024-11-08,Philadelphia,PA,125.95,483,VIP
218.0,Frank,Davis,frank@email.com,(555) 789-0123,59.0,18,4612,2026-01-13,San Diego,CA,256.22,52,VIP
219.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,62.0,48,1865,2023-08-19,Dallas,TX,38.85,930,Regular
220.0,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,35,2912,2023-03-22,San Jose,CA,83.2,1080,VIP
221.0,John,Smith,john@email.com,(555) 123-4567,74.0,11,2853,2023-09-16,New York,NY,259.36,902,VIP
222.0,Mary,Johnson,mary@email.com,(555) 234-5678,70.0,40,4910,2025-11-24,Los Angeles,CA,122.75,102,VIP
223.0,Bob,Williams,bob@gmail.com,(555) 345-6789,23.0,18,3228,2023-07-10,Chicago,IL,179.33,970,VIP
226.0,David,Garcia,david@email.com,,61.0,6,2371,2024-02-04,Philadelphia,PA,395.17,761,VIP
228.0,Frank,Davis,frank@email.com,(555) 789-0123,37.0,13,3756,2025-01-10,San Diego,CA,288.92,420,VIP
229.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,47.0,30,4225,2026-01-03,Dallas,TX,140.83,62,VIP
230.0,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,18,94,2023-09-08,San Jose,CA,5.22,910,Occasional
231.0,John,Smith,john@email.com,(555) 123-4567,28.0,46,2674,2023-12-07,New York,NY,58.13,820,VIP
232.0,Mary,Johnson,mary@email.com,(555) 234-5678,75.0,15,1955,2025-09-07,Los Angeles,CA,130.33,180,Regular
233.0,Bob,Williams,bob@gmail.com,(555) 345-6789,72.0,4,793,2023-09-11,Chicago,IL,198.25,907,Regular
238.0,Frank,Davis,frank@email.com,(555) 789-0123,50.0,35,2919,2023-05-29,San Diego,CA,83.4,1012,VIP
239.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,18.0,22,2597,2026-01-21,Dallas,TX,118.05,44,VIP
240.0,Henry,Martinez,henry@email.com,(555) 901-2345,74.0,15,3205,2025-04-14,San Jose,CA,213.67,326,VIP
241.0,John,Smith,john@email.com,(555) 123-4567,44.0,38,4807,2023-09-26,New York,NY,126.5,892,VIP
242.0,Mary,Johnson,mary@email.com,(555) 234-5678,79.0,44,814,2025-11-19,Los Angeles,CA,18.5,107,Regular
243.0,Bob,Williams,bob@gmail.com,(555) 345-6789,74.0,41,345,2024-07-21,Chicago,IL,8.41,593,Occasional
246.0,David,Garcia,david@email.com,,58.0,30,2443,2023-12-11,Philadelphia,PA,81.43,816,VIP
248.0,Frank,Davis,frank@email.com,(555) 789-0123,56.0,34,2188,2024-10-07,San Diego,CA,64.35,515,VIP
249.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,23.0,22,3005,2025-07-18,Dallas,TX,136.59,231,VIP
250.0,Henry,Martinez,henry@email.com,(555) 901-2345,25.0,28,3281,2023-02-23,San Jose,CA,117.18,1107,VIP
251.0,John,Smith,john@email.com,(555) 123-4567,44.0,42,984,2024-12-08,New York,NY,23.43,453,Regular
252.0,Mary,Johnson,mary@email.com,(555) 234-5678,26.0,10,1639,2023-06-02,Los Angeles,CA,163.9,1008,Regular
253.0,Bob,Williams,bob@gmail.com,(555) 345-6789,79.0,17,827,2024-09-09,Chicago,IL,48.65,543,Regular
256.0,David,Garcia,david@email.com,,68.0,8,4451,2025-07-27,Philadelphia,PA,556.38,222,VIP
258.0,Frank,Davis,frank@email.com,(555) 789-0123,61.0,43,3876,2025-02-27,San Diego,CA,90.14,372,VIP
259.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,41.0,16,126,2023-06-27,Dallas,TX,7.88,983,Occasional
260.0,Henry,Martinez,henry@email.com,(555) 901-2345,32.0,37,3177,2024-03-20,San Jose,CA,85.86,716,VIP
261.0,John,Smith,john@email.com,(555) 123-4567,76.0,6,3056,2025-01-29,New York,NY,509.33,401,VIP
262.0,Mary,Johnson,mary@email.com,(555) 234-5678,71.0,45,603,2023-08-27,Los Angeles,CA,13.4,922,Regular
263.0,Bob,Williams,bob@gmail.com,(555) 345-6789,49.0,12,3449,2023-08-10,Chicago,IL,287.42,939,VIP
266.0,David,Garcia,david@email.com,,58.0,8,3367,2025-07-20,Philadelphia,PA,420.88,229,VIP
268.0,Frank,Davis,frank@email.com,(555) 789-0123,66.0,26,3797,2024-09-08,San Diego,CA,146.04,544,VIP
269.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,79.0,1,1792,2023-05-01,Dallas,TX,1792.0,1040,Regular
270.0,Henry,Martinez,henry@email.com,(555) 901-2345,66.0,4,2861,2023-07-01,San Jose,CA,715.25,979,VIP
271.0,John,Smith,john@email.com,(555) 123-4567,75.0,28,3476,2024-02-16,New York,NY,124.14,749,VIP
272.0,Mary,Johnson,mary@email.com,(555) 234-5678,69.0,36,3417,2023-05-04,Los Angeles,CA,94.92,1037,VIP
276.0,David,Garcia,david@email.com,,19.0,47,2872,2024-07-07,Philadelphia,PA,61.11,607,VIP
278.0,Frank,Davis,frank@email.com,(555) 789-0123,66.0,0,1854,2023-02-19,San Diego,CA,0.0,1111,Regular
279.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,54.0,21,4021,2024-02-21,Dallas,TX,191.48,744,VIP
280.0,Henry,Martinez,henry@email.com,(555) 901-2345,66.0,16,4662,2025-12-01,San Jose,CA,291.38,95,VIP
281.0,John,Smith,john@email.com,(555) 123-4567,73.0,6,2708,2025-05-13,New York,NY,451.33,297,VIP
282.0,Mary,Johnson,mary@email.com,(555) 234-5678,34.0,24,3502,2025-03-10,Los Angeles,CA,145.92,361,VIP
283.0,Bob,Williams,bob@gmail.com,(555) 345-6789,76.0,44,1332,2024-06-14,Chicago,IL,30.27,630,Regular
286.0,David,Garcia,david@email.com,,19.0,5,4212,2024-02-13,Philadelphia,PA,842.4,752,VIP
288.0,Frank,Davis,frank@email.com,(555) 789-0123,71.0,18,536,2025-11-01,San Diego,CA,29.78,125,Regular
289.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,40.0,43,1625,2023-12-25,Dallas,TX,37.79,802,Regular
290.0,Henry,Martinez,henry@email.com,(555) 901-2345,54.0,38,2122,2025-07-12,San Jose,CA,55.84,237,VIP
291.0,John,Smith,john@email.com,(555) 123-4567,49.0,26,385,2025-01-06,New York,NY,14.81,424,Occasional
292.0,Mary,Johnson,mary@email.com,(555) 234-5678,50.0,9,3281,2024-07-03,Los Angeles,CA,364.56,611,VIP
293.0,Bob,Williams,bob@gmail.com,(555) 345-6789,18.0,25,474,2023-09-06,Chicago,IL,18.96,912,Occasional
296.0,David,Garcia,david@email.com,,19.0,2,954,2025-11-11,Philadelphia,PA,477.0,115,Regular
298.0,Frank,Davis,frank@email.com,(555) 789-0123,61.0,12,4858,2024-02-28,San Diego,CA,404.83,737,VIP
299.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,43.0,49,1205,2023-07-21,Dallas,TX,24.59,959,Regular
300.0,Henry,Martinez,henry@email.com,(555) 901-2345,49.0,27,4759,2025-06-14,San Jose,CA,176.26,265,VIP
301.0,John,Smith,john@email.com,(555) 123-4567,23.0,19,4120,2026-02-09,New York,NY,216.84,25,VIP
302.0,Mary,Johnson,mary@email.com,(555) 234-5678,49.0,27,1990,2025-07-01,Los Angeles,CA,73.7,248,Regular
303.0,Bob,Williams,bob@gmail.com,(555) 345-6789,72.0,7,4805,2023-12-03,Chicago,IL,686.43,824,VIP
306.0,David,Garcia,david@email.com,,28.0,0,4158,2023-08-08,Philadelphia,PA,0.0,941,VIP
308.0,Frank,Davis,frank@email.com,(555) 789-0123,76.0,12,2713,2023-09-24,San Diego,CA,226.08,894,VIP
309.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,34.0,27,2203,2025-11-13,Dallas,TX,81.59,113,VIP
310.0,Henry,Martinez,henry@email.com,(555) 901-2345,55.0,48,3120,2025-10-12,San Jose,CA,65.0,145,VIP
311.0,John,Smith,john@email.com,(555) 123-4567,41.0,24,966,2025-09-21,New York,NY,40.25,166,Regular
312.0,Mary,Johnson,mary@email.com,(555) 234-5678,22.0,32,4944,2023-05-24,Los Angeles,CA,154.5,1017,VIP
313.0,Bob,Williams,bob@gmail.com,(555) 345-6789,69.0,37,3432,2025-10-28,Chicago,IL,92.76,129,VIP
316.0,David,Garcia,david@email.com,,39.0,44,3701,2025-03-31,Philadelphia,PA,84.11,340,VIP
318.0,Frank,Davis,frank@email.com,(555) 789-0123,65.0,44,1724,2026-02-02,San Diego,CA,39.18,32,Regular
319.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,33.0,46,4422,2023-12-30,Dallas,TX,96.13,797,VIP
320.0,Henry,Martinez,henry@email.com,(555) 901-2345,50.0,20,1792,2025-07-03,San Jose,CA,89.6,246,Regular
321.0,John,Smith,john@email.com,(555) 123-4567,26.0,15,1759,2024-08-07,New York,NY,117.27,576,Regular
322.0,Mary,Johnson,mary@email.com,(555) 234-5678,77.0,20,3212,2024-02-26,Los Angeles,CA,160.6,739,VIP
323.0,Bob,Williams,bob@gmail.com,(555) 345-6789,76.0,10,989,2025-10-23,Chicago,IL,98.9,134,Regular
326.0,David,Garcia,david@email.com,,46.0,34,951,2026-02-04,Philadelphia,PA,27.97,30,Regular
328.0,Frank,Davis,frank@email.com,(555) 789-0123,37.0,19,3389,2025-07-18,San Diego,CA,178.37,231,VIP
329.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,77.0,17,2079,2023-08-26,Dallas,TX,122.29,923,VIP
330.0,Henry,Martinez,henry@email.com,(555) 901-2345,76.0,46,2717,2026-01-20,San Jose,CA,59.07,45,VIP
331.0,John,Smith,john@email.com,(555) 123-4567,53.0,40,2332,2024-12-28,New York,NY,58.3,433,VIP
332.0,Mary,Johnson,mary@email.com,(555) 234-5678,36.0,48,3376,2023-08-31,Los Angeles,CA,70.33,918,VIP
333.0,Bob,Williams,bob@gmail.com,(555) 345-6789,43.0,13,4524,2024-09-14,Chicago,IL,348.0,538,VIP
