customer_id,first_name,last_name,email,phone,age,total_purchases,total_spent,join_date,city,state
47,Emma,Miller,invalid-email,(555)678-9012,79.0,14,1646,2023-08-05,san antonio,TX
48,FRANK,  Davis,frank@email.com,555 789 0123,64.0,42,918,2024-02-20,San Diego,CA
49,grace,Rodriguez,grace@email.com,5558901234,79.0,36,2797,2026-01-26,Dallas,TX
50,Henry,Martinez,henry@email.com,(555) 901-2345,68.0,32,1531,2024-10-06,San Jose,CA
51,  John,Smith,john@EMAIL.com,(555) 123-4567,61.0,7,3345,2023-09-01,New York,NY
52,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,72.0,43,1906,2025-04-06,los angeles,ca
53,bob,williams,  bob@gmail.com,5553456789,69.0,43,3086,2024-02-03,CHICAGO  ,IL
54,  Alice  ,Brown  ,alice.email.com,555.456.7890,74.0,4,4580,2024-08-14,  Houston,TX  
55,Charlie,Jones,charlie@,invalid,20.0,38,2075,2024-12-24,Phoenix,AZ
56,david,Garcia,david@email.com,123,54.0,3,713,2025-06-05,Philadelphia,PA
57,Emma,Miller,invalid-email,(555)678-9012,68.0,5,1062,2024-01-14,san antonio,TX
58,FRANK,  Davis,frank@email.com,555 789 0123,24.0,44,1976,2023-03-16,San Diego,CA
59,grace,Rodriguez,grace@email.com,5558901234,38.0,31,1296,2023-11-20,Dallas,TX
60,Henry,Martinez,henry@email.com,(555) 901-2345,26.0,29,125,2026-01-13,San Jose,CA
61,  John,Smith,john@EMAIL.com,(555) 123-4567,56.0,46,4632,2023-06-29,New York,NY
62,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,35.0,34,3596,2024-10-22,los angeles,ca
63,bob,williams,  bob@gmail.com,5553456789,21.0,39,3283,2025-03-30,CHICAGO  ,IL
64,  Alice  ,Brown  ,alice.email.com,555.456.7890,42.0,15,1603,2025-06-11,  Houston,TX  
65,Charlie,Jones,charlie@,invalid,77.0,12,66,2024-01-25,Phoenix,AZ
66,david,Garcia,david@email.com,123,31.0,49,232,2024-03-16,Philadelphia,PA
67,Emma,Miller,invalid-email,(555)678-9012,67.0,41,2156,2025-05-15,san antonio,TX
68,FRANK,  Davis,frank@email.com,555 789 0123,75.0,29,1169,2025-01-30,San Diego,CA
69,grace,Rodriguez,grace@email.com,5558901234,26.0,18,2158,2025-05-21,Dallas,TX
70,Henry,Martinez,henry@email.com,(555) 901-2345,43.0,16,4206,2023-07-31,San Jose,CA
71,  John,Smith,john@EMAIL.com,(555) 123-4567,70.0,18,1493,2023-08-05,New York,NY
72,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,19.0,27,4718,2025-03-08,los angeles,ca
73,bob,williams,  bob@gmail.com,5553456789,37.0,25,4007,2025-01-18,CHICAGO  ,IL
74,  Alice  ,Brown  ,alice.email.com,555.456.7890,45.0,36,2472,2024-07-14,  Houston,TX  
75,Charlie,Jones,charlie@,invalid,64.0,25,2660,2026-02-08,Phoenix,AZ
76,david,Garcia,david@email.com,123,77.0,22,2739,2025-01-31,Philadelphia,PA
77,Emma,Miller,invalid-email,(555)678-9012,24.0,8,1761,2025-03-24,san antonio,TX
78,FRANK,  Davis,frank@email.com,555 789 0123,61.0,11,3514,2025-09-18,San Diego,CA
79,grace,Rodriguez,grace@email.com,5558901234,78.0,0,1975,2025-04-24,Dallas,TX
80,Henry,Martinez,henry@email.com,(555) 901-2345,25.0,0,2362,2024-12-06,San Jose,CA
81,  John,Smith,john@EMAIL.com,(555) 123-4567,64.0,46,876,2024-03-08,New York,NY
82,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,52.0,33,3812,2023-07-08,los angeles,ca
83,bob,williams,  bob@gmail.com,5553456789,31.0,31,3448,2024-07-06,CHICAGO  ,IL
84,  Alice  ,Brown  ,alice.email.com,555.456.7890,34.0,47,1312,2025-01-08,  Houston,TX  
85,Charlie,Jones,charlie@,invalid,53.0,24,1460,2023-11-17,Phoenix,AZ
86,david,Garcia,david@email.com,123,67.0,39,2709,2023-06-23,Philadelphia,PA
87,Emma,Miller,invalid-email,(555)678-9012,57.0,44,2324,2025-08-08,san antonio,TX
88,FRANK,  Davis,frank@email.com,555 789 0123,21.0,0,1733,2025-12-12,San Diego,CA
89,grace,Rodriguez,grace@email.com,5558901234,19.0,15,1605,2023-07-18,Dallas,TX
90,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,38,2563,2024-03-03,San Jose,CA
91,  John,Smith,john@EMAIL.com,(555) 123-4567,23.0,4,3421,2023-11-27,New York,NY
92,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,71.0,21,3517,2026-01-31,los angeles,ca
93,bob,williams,  bob@gmail.com,5553456789,59.0,28,2397,2023-02-21,CHICAGO  ,IL
94,  Alice  ,Brown  ,alice.email.com,555.456.7890,21.0,2,3735,2025-06-30,  Houston,TX  
95,Charlie,Jones,charlie@,invalid,71.0,11,2870,2024-07-27,Phoenix,AZ
96,david,Garcia,david@email.com,123,46.0,25,1160,2024-01-01,Philadelphia,PA
97,Emma,Miller,invalid-email,(555)678-9012,35.0,15,4854,2023-09-10,san antonio,TX
98,FRANK,  Davis,frank@email.com,555 789 0123,43.0,36,242,2025-06-30,San Diego,CA
99,grace,Rodriguez,grace@email.com,5558901234,61.0,21,2590,2023-11-09,Dallas,TX
100,Henry,Martinez,henry@email.com,(555) 901-2345,51.0,28,1063,2025-07-08,San Jose,CA
101,  John,Smith,john@EMAIL.com,(555) 123-4567,27.0,13,4324,2023-07-20,New York,NY
102,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,79.0,27,2595,2024-01-20,los angeles,ca
103,bob,williams,  bob@gmail.com,5553456789,53.0,4,919,2024-09-23,CHICAGO  ,IL
104,  Alice  ,Brown  ,alice.email.com,555.456.7890,31.0,46,5,2025-05-28,  Houston,TX  
105,Charlie,Jones,charlie@,invalid,48.0,48,467,2025-12-19,Phoenix,AZ
106,david,Garcia,david@email.com,123,65.0,29,4170,2023-03-08,Philadelphia,PA
107,Emma,Miller,invalid-email,(555)678-9012,32.0,45,3,2024-02-15,san antonio,TX
108,FRANK,  Davis,frank@email.com,555 789 0123,25.0,4,645,2024-03-24,San Diego,CA
109,grace,Rodriguez,grace@email.com,5558901234,31.0,11,117,2023-04-04,Dallas,TX
110,Henry,Martinez,henry@email.com,(555) 901-2345,40.0,15,2928,2024-12-19,San Jose,CA
111,  John,Smith,john@EMAIL.com,(555) 123-4567,77.0,25,2551,2024-03-23,New York,NY
112,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,74.0,25,4289,2023-10-15,los angeles,ca
113,bob,williams,  bob@gmail.com,5553456789,79.0,47,846,2025-12-11,CHICAGO  ,IL
114,  Alice  ,Brown  ,alice.email.com,555.456.7890,57.0,20,2762,2025-07-10,  Houston,TX  
115,Charlie,Jones,charlie@,invalid,38.0,38,1141,2026-02-08,Phoenix,AZ
116,david,Garcia,david@email.com,123,33.0,35,1810,2025-09-04,Philadelphia,PA
117,Emma,Miller,invalid-email,(555)678-9012,62.0,32,723,2023-12-23,san antonio,TX
118,FRANK,  Davis,frank@email.com,555 789 0123,35.0,29,224,2023-09-02,San Diego,CA
119,grace,Rodriguez,grace@email.com,5558901234,64.0,36,4627,2025-03-19,Dallas,TX
120,Henry,Martinez,henry@email.com,(555) 901-2345,70.0,22,4208,2024-07-11,San Jose,CA
121,  John,Smith,john@EMAIL.com,(555) 123-4567,41.0,9,4654,2023-07-05,New York,NY
122,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,43.0,4,2048,2024-05-17,los angeles,ca
123,bob,williams,  bob@gmail.com,5553456789,42.0,35,4749,2023-05-30,CHICAGO  ,IL
124,  Alice  ,Brown  ,alice.email.com,555.456.7890,77.0,33,4415,2023-08-05,  Houston,TX  
125,Charlie,Jones,charlie@,invalid,77.0,30,1573,2024-02-04,Phoenix,AZ
126,david,Garcia,david@email.com,123,77.0,9,1828,2025-08-25,Philadelphia,PA
127,Emma,Miller,invalid-email,(555)678-9012,62.0,18,1917,2024-09-08,san antonio,TX
128,FRANK,  Davis,frank@email.com,555 789 0123,58.0,31,4234,2026-01-02,San Diego,CA
129,grace,Rodriguez,grace@email.com,5558901234,46.0,0,2026,2023-07-02,Dallas,TX
130,Henry,Martinez,henry@email.com,(555) 901-2345,32.0,4,3744,2023-06-03,San Jose,CA
131,  John,Smith,john@EMAIL.com,(555) 123-4567,62.0,44,901,2023-06-12,New York,NY
132,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,18.0,3,4785,2026-01-04,los angeles,ca
133,bob,williams,  bob@gmail.com,5553456789,42.0,15,2039,2025-03-20,CHICAGO  ,IL
134,  Alice  ,Brown  ,alice.email.com,555.456.7890,24.0,23,9,2023-08-12,  Houston,TX  
135,Charlie,Jones,charlie@,invalid,26.0,15,260,2024-11-14,Phoenix,AZ
136,david,Garcia,david@email.com,123,41.0,1,1673,2026-01-05,Philadelphia,PA
137,Emma,Miller,invalid-email,(555)678-9012,18.0,48,2219,2023-06-14,san antonio,TX
138,FRANK,  Davis,frank@email.com,555 789 0123,61.0,27,2060,2023-12-08,San Diego,CA
139,grace,Rodriguez,grace@email.com,5558901234,25.0,31,3713,2023-06-14,Dallas,TX
140,Henry,Martinez,henry@email.com,(555) 901-2345,41.0,26,1619,2024-06-28,San Jose,CA
141,  John,Smith,john@EMAIL.com,(555) 123-4567,28.0,19,320,2023-03-15,New York,NY
142,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,68.0,23,1342,2025-07-02,los angeles,ca
143,bob,williams,  bob@gmail.com,5553456789,34.0,11,2376,2025-03-30,CHICAGO  ,IL
144,  Alice  ,Brown  ,alice.email.com,555.456.7890,25.0,49,2832,2025-02-27,  Houston,TX  
145,Charlie,Jones,charlie@,invalid,52.0,34,2824,2025-10-19,Phoenix,AZ
146,david,Garcia,david@email.com,123,52.0,32,1994,2024-03-15,Philadelphia,PA
147,Emma,Miller,invalid-email,(555)678-9012,50.0,32,2958,2023-03-15,san antonio,TX
148,,  Davis,frank@email.com,,76.0,42,2038,2026-01-02,San Diego,CA
149,grace,Rodriguez,grace@email.com,5558901234,22.0,36,3490,2025-07-10,Dallas,TX
150,Henry,Martinez,henry@email.com,(555) 901-2345,59.0,11,3677,2025-03-12,San Jose,CA
151,  John,Smith,john@EMAIL.com,(555) 123-4567,56.0,2,1118,2025-11-11,New York,NY
152,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,75.0,0,1604,2025-02-23,los angeles,ca
153,bob,williams,  bob@gmail.com,5553456789,58.0,32,4027,2024-07-20,CHICAGO  ,IL
154,  Alice  ,Brown  ,alice.email.com,555.456.7890,45.0,39,235,2023-11-18,  Houston,TX  
155,Charlie,Jones,charlie@,invalid,24.0,9,1969,2023-12-23,Phoenix,AZ
156,david,Garcia,david@email.com,123,26.0,42,4429,2025-02-13,Philadelphia,PA
157,Emma,Miller,invalid-email,(555)678-9012,25.0,43,1908,2024-08-03,san antonio,TX
158,FRANK,  Davis,frank@email.com,555 789 0123,29.0,28,375,2025-02-20,San Diego,CA
159,grace,Rodriguez,grace@email.com,5558901234,51.0,12,3530,2025-08-04,Dallas,TX
160,Henry,Martinez,henry@email.com,(555) 901-2345,50.0,11,2635,2024-12-16,San Jose,CA
161,  John,Smith,john@EMAIL.com,(555) 123-4567,65.0,30,1570,2024-03-13,New York,NY
162,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,72.0,45,2560,2026-02-04,los angeles,ca
163,bob,williams,  bob@gmail.com,5553456789,40.0,1,3391,2025-10-01,CHICAGO  ,IL
164,  Alice  ,Brown  ,alice.email.com,555.456.7890,79.0,49,2965,2024-08-03,  Houston,TX  
165,Charlie,,charlie@,invalid,41.0,34,3643,2023-11-08,Phoenix,AZ
166,david,Garcia,david@email.com,123,54.0,22,3850,2024-01-12,Philadelphia,PA
167,Emma,Miller,invalid-email,(555)678-9012,52.0,16,872,2023-03-24,san antonio,TX
168,FRANK,  Davis,frank@email.com,555 789 0123,61.0,25,1252,2024-08-25,San Diego,CA
169,grace,Rodriguez,grace@email.com,5558901234,57.0,7,1314,2024-12-12,Dallas,TX
170,Henry,Martinez,henry@email.com,(555) 901-2345,39.0,28,4820,2024-04-10,San Jose,CA
171,  John,Smith,john@EMAIL.com,(555) 123-4567,44.0,25,2898,2025-02-13,New York,NY
172,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,52.0,9,77,2025-11-21,los angeles,ca
173,bob,williams,  bob@gmail.com,5553456789,18.0,25,2621,2025-02-20,CHICAGO  ,IL
174,  Alice  ,Brown  ,alice.email.com,555.456.7890,52.0,33,4227,2024-07-02,  Houston,TX  
175,Charlie,Jones,charlie@,invalid,54.0,40,600,2025-04-22,Phoenix,AZ
176,david,Garcia,david@email.com,123,64.0,6,1065,2023-03-09,Philadelphia,PA
177,Emma,Miller,invalid-email,(555)678-9012,31.0,3,2136,2026-01-25,san antonio,TX
178,FRANK,  Davis,frank@email.com,555 789 0123,20.0,49,2449,2025-02-16,San Diego,CA
179,grace,Rodriguez,grace@email.com,5558901234,18.0,44,2343,2023-09-29,Dallas,TX
180,Henry,Martinez,henry@email.com,(555) 901-2345,22.0,10,1863,2024-03-13,San Jose,CA
181,  John,Smith,john@EMAIL.com,(555) 123-4567,43.0,28,1318,2024-11-20,New York,NY
182,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,72.0,35,4711,2023-10-09,los angeles,ca
183,bob,williams,  bob@gmail.com,5553456789,31.0,24,3597,2025-02-11,CHICAGO  ,IL
184,  Alice  ,Brown  ,alice.email.com,555.456.7890,56.0,20,3762,2024-04-07,  Houston,TX  
185,Charlie,Jones,charlie@,invalid,44.0,35,4670,2023-05-10,Phoenix,AZ
186,david,Garcia,david@email.com,123,26.0,9,2190,2024-11-01,Philadelphia,PA
187,Emma,Miller,invalid-email,(555)678-9012,32.0,36,992,2024-12-24,san antonio,TX
188,FRANK,  Davis,frank@email.com,555 789 0123,32.0,8,2712,2024-07-05,San Diego,CA
189,grace,,grace@email.com,5558901234,43.0,23,2192,2023-05-24,Dallas,TX
190,Henry,Martinez,henry@email.com,(555) 901-2345,59.0,34,1248,2024-07-19,San Jose,CA
191,  John,Smith,john@EMAIL.com,(555) 123-4567,77.0,48,3054,2025-03-13,New York,NY
192,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,30.0,34,4598,2026-01-05,los angeles,ca
193,bob,williams,,5553456789,68.0,47,4033,2023-05-29,CHICAGO  ,IL
194,  Alice  ,Brown  ,alice.email.com,555.456.7890,49.0,35,1997,2025-05-09,  Houston,TX  
195,Charlie,Jones,charlie@,invalid,56.0,17,4916,2023-08-10,Phoenix,AZ
196,david,Garcia,david@email.com,123,66.0,48,3687,2024-10-15,Philadelphia,PA
197,Emma,Miller,invalid-email,(555)678-9012,69.0,38,2151,2024-02-11,san antonio,TX
198,FRANK,  Davis,frank@email.com,555 789 0123,78.0,31,4018,2025-08-03,San Diego,CA
199,grace,Rodriguez,grace@email.com,5558901234,49.0,23,3110,2023-04-07,Dallas,TX
200,Henry,Martinez,henry@email.com,(555) 901-2345,21.0,22,1970,2024-09-05,San Jose,CA
201,  John,Smith,john@EMAIL.com,(555) 123-4567,47.0,31,197,2023-08-08,New York,NY
202,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,54.0,36,2626,2025-01-06,los angeles,ca
203,bob,williams,  bob@gmail.com,5553456789,40.0,11,1202,2023-09-09,CHICAGO  ,IL
204,,Brown  ,alice.email.com,,56.0,48,2035,2024-03-08,  Houston,TX  
205,,Jones,charlie@,,62.0,12,477,2026-01-20,Phoenix,AZ
206,david,Garcia,david@email.com,123,32.0,22,1254,2024-10-25,Philadelphia,PA
207,Emma,Miller,invalid-email,(555)678-9012,60.0,24,922,2025-07-16,san antonio,TX
208,FRANK,  Davis,frank@email.com,555 789 0123,46.0,34,419,2025-04-11,San Diego,CA
209,grace,Rodriguez,grace@email.com,5558901234,53.0,40,2204,2024-03-09,Dallas,TX
210,Henry,Martinez,henry@email.com,(555) 901-2345,30.0,29,2597,2024-03-26,San Jose,CA
211,  John,Smith,john@EMAIL.com,(555) 123-4567,49.0,16,1120,2025-05-02,New York,NY
212,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,24.0,48,3068,2024-02-26,los angeles,ca
213,bob,williams,,5553456789,76.0,19,950,2024-01-10,CHICAGO  ,IL
214,  Alice  ,Brown  ,alice.email.com,555.456.7890,68.0,47,2336,2023-07-09,  Houston,TX  
215,Charlie,Jones,charlie@,invalid,39.0,24,2243,2025-01-26,Phoenix,AZ
216,david,Garcia,david@email.com,123,45.0,21,2645,2024-11-08,Philadelphia,PA
217,Emma,Miller,invalid-email,(555)678-9012,19.0,12,1857,2023-04-17,san antonio,TX
218,FRANK,  Davis,frank@email.com,555 789 0123,59.0,18,4612,2026-01-13,San Diego,CA
219,grace,Rodriguez,grace@email.com,5558901234,62.0,48,1865,2023-08-19,Dallas,TX
220,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,35,2912,2023-03-22,San Jose,CA
221,  John,Smith,john@EMAIL.com,(555) 123-4567,74.0,11,2853,2023-09-16,New York,NY
222,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,70.0,40,4910,2025-11-24,los angeles,ca
223,bob,williams,  bob@gmail.com,5553456789,23.0,18,3228,2023-07-10,CHICAGO  ,IL
224,  Alice  ,Brown  ,alice.email.com,555.456.7890,45.0,11,3719,2024-11-09,  Houston,TX  
225,Charlie,Jones,charlie@,invalid,45.0,8,3228,2024-07-21,Phoenix,AZ
226,david,Garcia,david@email.com,123,61.0,6,2371,2024-02-04,Philadelphia,PA
227,Emma,Miller,invalid-email,(555)678-9012,61.0,27,2891,2024-09-13,san antonio,TX
228,FRANK,  Davis,frank@email.com,555 789 0123,37.0,13,3756,2025-01-10,San Diego,CA
229,grace,Rodriguez,grace@email.com,5558901234,47.0,30,4225,2026-01-03,Dallas,TX
230,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,18,94,2023-09-08,San Jose,CA
231,  John,Smith,john@EMAIL.com,(555) 123-4567,28.0,46,2674,2023-12-07,New York,NY
232,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,75.0,15,1955,2025-09-07,los angeles,ca
233,bob,williams,  bob@gmail.com,5553456789,72.0,4,793,2023-09-11,CHICAGO  ,IL
234,  Alice  ,Brown  ,alice.email.com,555.456.7890,45.0,34,1834,2023-06-13,  Houston,TX  
235,Charlie,Jones,charlie@,invalid,42.0,11,2116,2023-04-02,Phoenix,AZ
236,david,Garcia,,123,56.0,24,4106,2023-10-16,Philadelphia,PA
237,Emma,Miller,invalid-email,(555)678-9012,79.0,20,3325,2024-01-25,san antonio,TX
238,FRANK,  Davis,frank@email.com,555 789 0123,50.0,35,2919,2023-05-29,San Diego,CA
239,grace,Rodriguez,grace@email.com,5558901234,18.0,22,2597,2026-01-21,Dallas,TX
240,Henry,Martinez,henry@email.com,(555) 901-2345,74.0,15,3205,2025-04-14,San Jose,CA
241,  John,Smith,john@EMAIL.com,(555) 123-4567,44.0,38,4807,2023-09-26,New York,NY
242,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,79.0,44,814,2025-11-19,los angeles,ca
243,bob,williams,  bob@gmail.com,5553456789,74.0,41,345,2024-07-21,CHICAGO  ,IL
244,  Alice  ,Brown  ,alice.email.com,555.456.7890,69.0,38,2349,2023-07-23,  Houston,TX  
245,Charlie,Jones,charlie@,invalid,30.0,13,362,2023-05-09,Phoenix,AZ
246,david,Garcia,david@email.com,123,58.0,30,2443,2023-12-11,Philadelphia,PA
247,Emma,Miller,invalid-email,(555)678-9012,20.0,4,2265,2023-12-12,san antonio,TX
248,FRANK,  Davis,frank@email.com,555 789 0123,56.0,34,2188,2024-10-07,San Diego,CA
249,grace,Rodriguez,grace@email.com,5558901234,23.0,22,3005,2025-07-18,Dallas,TX
250,Henry,Martinez,henry@email.com,(555) 901-2345,25.0,28,3281,2023-02-23,San Jose,CA
251,  John,Smith,john@EMAIL.com,(555) 123-4567,44.0,42,984,2024-12-08,New York,NY
252,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,26.0,10,1639,2023-06-02,los angeles,ca
253,bob,williams,  bob@gmail.com,5553456789,79.0,17,827,2024-09-09,CHICAGO  ,IL
254,  Alice  ,Brown  ,alice.email.com,555.456.7890,54.0,46,2730,2024-06-30,  Houston,TX  
255,Charlie,Jones,charlie@,invalid,50.0,11,3531,2023-03-28,Phoenix,AZ
256,david,Garcia,david@email.com,123,68.0,8,4451,2025-07-27,Philadelphia,PA
257,Emma,Miller,invalid-email,(555)678-9012,59.0,9,2935,2025-01-20,san antonio,TX
258,FRANK,  Davis,frank@email.com,555 789 0123,61.0,43,3876,2025-02-27,San Diego,CA
259,grace,Rodriguez,grace@email.com,5558901234,41.0,16,126,2023-06-27,Dallas,TX
260,Henry,Martinez,henry@email.com,(555) 901-2345,32.0,37,3177,2024-03-20,San Jose,CA
261,  John,Smith,john@EMAIL.com,(555) 123-4567,76.0,6,3056,2025-01-29,New York,NY
262,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,71.0,45,603,2023-08-27,los angeles,ca
263,bob,williams,  bob@gmail.com,5553456789,49.0,12,3449,2023-08-10,CHICAGO  ,IL
264,  Alice  ,Brown  ,alice.email.com,555.456.7890,49.0,39,4146,2024-09-02,  Houston,TX  
265,Charlie,Jones,charlie@,invalid,41.0,41,3533,2024-02-08,Phoenix,AZ
266,david,Garcia,david@email.com,123,58.0,8,3367,2025-07-20,Philadelphia,PA
267,Emma,Miller,invalid-email,(555)678-9012,69.0,49,3368,2024-11-13,san antonio,TX
268,FRANK,  Davis,frank@email.com,555 789 0123,66.0,26,3797,2024-09-08,San Diego,CA
269,grace,Rodriguez,grace@email.com,5558901234,79.0,1,1792,2023-05-01,Dallas,TX
270,Henry,Martinez,henry@email.com,(555) 901-2345,66.0,4,2861,2023-07-01,San Jose,CA
271,  John,Smith,john@EMAIL.com,(555) 123-4567,75.0,28,3476,2024-02-16,New York,NY
272,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,69.0,36,3417,2023-05-04,los angeles,ca
273,,williams,  bob@gmail.com,,29.0,37,1645,2024-09-28,CHICAGO  ,IL
274,  Alice  ,Brown  ,alice.email.com,555.456.7890,79.0,18,1205,2025-10-17,  Houston,TX  
275,Charlie,Jones,charlie@,invalid,56.0,7,3030,2025-01-21,Phoenix,AZ
276,david,Garcia,david@email.com,123,19.0,47,2872,2024-07-07,Philadelphia,PA
277,Emma,Miller,invalid-email,(555)678-9012,20.0,44,3072,2025-01-12,san antonio,TX
278,FRANK,  Davis,frank@email.com,555 789 0123,66.0,0,1854,2023-02-19,San Diego,CA
279,grace,Rodriguez,grace@email.com,5558901234,54.0,21,4021,2024-02-21,Dallas,TX
280,Henry,Martinez,henry@email.com,(555) 901-2345,66.0,16,4662,2025-12-01,San Jose,CA
281,  John,Smith,john@EMAIL.com,(555) 123-4567,73.0,6,2708,2025-05-13,New York,NY
282,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,34.0,24,3502,2025-03-10,los angeles,ca
